record_ID,units_sold
212645,44
212646,40
212647,23
212648,31
212649,38
212653,45
212654,24
212657,22
212658,20
212661,66
212662,60
212663,35
212666,35
212667,47
212668,56
212671,51
212672,69
212673,35
212674,207
212675,22
212676,26
212677,33
212678,33
212679,42
212681,36
212682,40
212683,17
212686,79
212687,73
212688,27
212689,14
212691,27
212692,40
212693,52
212694,31
212695,38
212696,48
212697,65
212698,33
212699,190
212700,22
212701,18
212702,30
212703,29
212704,28
212705,38
212706,35
212707,62
212709,17
212710,23
212711,29
212712,68
212713,38
212716,37
212717,39
212718,17
212719,21
212721,54
212722,26
212723,162
212724,18
212725,15
212727,26
212728,34
212729,33
212731,29
212732,54
212734,13
212735,11
212736,14
212737,166
212738,223
212739,39
212740,20
212742,94
212743,126
212744,152
212748,178
212749,91
212750,303
212751,28
212752,23
212754,88
212755,65
212756,100
212757,41
212758,50
212759,57
212760,9
212761,53
212763,15
212764,54
212765,94
212767,30
212768,40
212769,46
212772,41
212773,54
212774,28
212775,154
212776,18
212777,14
212778,27
212779,26
212782,44
212783,50
212787,68
212788,62
212789,38
212790,21
212792,38
212793,51
212794,58
212796,70
212797,75
212798,205
212799,24
212800,21
212802,34
212803,34
212805,41
212806,57
212807,63
212809,19
212812,44
212816,24
212817,36
212818,39
212819,17
212820,22
212821,42
212822,56
212823,27
212824,167
212825,20
212826,18
212828,27
212829,35
212830,34
212831,25
212832,32
212833,33
212834,39
212835,36
212837,22
212838,33
212839,33
212840,25
212843,52
212844,24
212845,149
212846,19
212849,50
212850,33
212853,46
212856,49
212857,30
212860,35
212861,44
212862,47
212863,21
212866,68
212867,33
212868,202
212869,22
212870,20
212872,33
212873,42
212874,41
212875,42
212876,59
212877,43
212879,19
212880,27
212881,20
212884,20
212885,31
212886,37
212888,21
212889,46
212890,24
212891,139
212892,22
212893,21
212896,41
212899,12
212900,20
212901,31
212902,37
212903,18
212905,47
212906,24
212907,68
212910,23
212911,21
212914,29
212915,45
212916,50
212917,31
212919,31
212920,41
212921,47
212924,56
212925,30
212926,168
212927,21
212929,28
212930,42
212931,25
212932,54
212933,48
212934,34
212935,17
212936,64
212937,50
212938,31
212940,31
212941,41
212942,47
212946,56
212947,30
212948,167
212949,28
212950,28
212951,25
212952,37
212954,34
212955,44
212956,41
212959,37
212960,41
212964,57
212965,27
212966,171
212967,20
212968,18
212969,28
212970,43
212971,35
212973,51
212974,37
212977,44
212978,41
212979,26
212981,25
212982,37
212983,47
212984,28
212985,36
212986,43
212987,59
212988,30
212989,169
212990,20
212991,18
212993,28
212994,26
212995,26
212996,25
212997,51
212998,37
212999,8
213001,44
213002,40
213006,36
213007,39
213011,58
213012,27
213013,171
213016,36
213017,37
213020,51
213021,123
213022,111
213023,56
213025,31
213026,42
213027,47
213031,57
213032,30
213033,170
213034,21
213035,18
213036,28
213037,44
213038,43
213039,26
213040,48
213041,34
213043,18
213048,87
213049,90
213050,31
213053,31
213054,42
213055,47
213056,23
213059,57
213060,30
213061,84
213064,28
213065,44
213066,43
213068,48
213069,52
213070,24
213072,44
213073,41
213074,26
213076,25
213077,36
213078,39
213079,17
213080,22
213081,28
213082,57
213083,27
213084,172
213085,20
213086,18
213087,27
213088,36
213089,35
213090,39
213091,50
213092,56
213093,7
213094,17
213096,18
213097,44
213098,41
213100,25
213101,36
213102,39
213103,17
213105,41
213106,58
213107,27
213108,170
213109,28
213110,36
213111,35
213113,50
213114,56
213115,39
213123,26
213127,43
213128,48
213129,29
213131,29
213132,40
213133,45
213135,54
213136,28
213137,160
213138,20
213140,27
213141,26
213142,42
213145,50
213147,16
213148,68
213149,39
213150,24
213151,35
213152,38
213153,26
213154,56
213155,26
213156,164
213157,21
213158,18
213159,27
213160,35
213161,35
213162,24
213163,45
213164,32
213167,16
213168,17
213169,107
213170,106
213171,61
213174,34
213175,46
213176,52
213179,31
213180,62
213181,33
213182,91
213183,23
213187,30
213188,30
213189,56
213191,34
213192,37
213194,18
213195,16
213197,41
213199,25
213200,37
213202,28
213204,59
213205,28
213206,170
213207,28
213208,36
213209,35
213215,55
213216,51
213217,31
213219,28
213220,40
213221,47
213225,57
213226,30
213227,174
213230,28
213231,28
213233,36
213235,52
213236,16
213238,55
213239,51
213240,31
213241,31
213242,41
213243,47
213245,57
213246,30
213247,170
213248,21
213249,18
213250,28
213251,28
213252,26
213254,48
213255,52
213256,7
213257,17
213260,40
213265,57
213268,28
213269,36
213270,44
213273,52
213275,41
213276,26
213278,16
213279,25
213280,37
213281,47
213282,14
213283,36
213285,58
213286,30
213287,171
213288,20
213289,18
213292,28
213293,26
213294,26
213296,51
213297,57
213301,44
213303,21
213304,25
213305,36
213306,37
213308,34
213309,43
213310,58
213311,30
213312,172
213314,15
213315,27
213316,26
213317,25
213320,86
213321,86
213322,28
213325,30
213326,41
213327,46
213330,42
213331,55
213332,29
213333,84
213334,19
213335,16
213336,27
213337,27
213338,25
213340,45
213341,52
213343,15
213346,40
213347,36
213348,20
213351,22
213352,33
213353,35
213354,16
213355,33
213356,40
213357,51
213358,25
213359,157
213360,17
213361,15
213363,34
213364,38
213365,33
213366,44
213367,52
213369,64
213370,59
213371,20
213372,22
213373,33
213374,30
213375,16
213376,20
213377,25
213378,52
213379,25
213380,155
213381,17
213382,15
213383,25
213384,33
213385,33
213387,29
213388,52
213390,14
213391,37
213392,34
213394,21
213395,31
213396,31
213399,50
213400,26
213401,142
213403,23
213404,22
213408,48
213409,13
213410,12
213411,14
213412,37
213413,34
213414,19
213415,23
213416,31
213417,39
213418,24
213419,18
