record_ID,units_sold
212645,34
212646,27
212647,16
212648,23
212649,27
212653,32
212654,31
212657,17
212658,12
212661,138
212662,99
212663,44
212666,49
212667,69
212668,90
212671,41
212672,113
212673,50
212674,210
212675,21
212676,17
212677,56
212678,45
212679,41
212681,34
212682,45
212683,18
212686,84
212687,78
212688,22
212689,10
212691,23
212692,47
212693,57
212694,44
212695,46
212696,39
212697,80
212698,38
212699,171
212700,21
212701,15
212702,34
212703,31
212704,26
212705,33
212706,33
212707,46
212709,12
212710,19
212711,28
212712,58
212713,33
212716,34
212717,45
212718,18
212719,19
212721,68
212722,25
212723,149
212724,14
212725,10
212727,30
212728,37
212729,30
212731,31
212732,46
212734,7
212735,7
212736,11
212737,200
212738,185
212739,48
212740,19
212742,123
212743,134
212744,186
212748,180
212749,100
212750,252
212751,31
212752,23
212754,112
212755,70
212756,100
212757,40
212758,52
212759,67
212760,8
212761,63
212763,14
212764,74
212765,90
212767,34
212768,43
212769,53
212772,36
212773,64
212774,33
212775,150
212776,15
212777,10
212778,40
212779,31
212782,37
212783,45
212787,141
212788,102
212789,51
212790,18
212792,64
212793,79
212794,95
212796,121
212797,120
212798,204
212799,26
212800,17
212802,73
212803,58
212805,36
212806,49
212807,56
212809,23
212812,39
212816,16
212817,32
212818,30
212819,17
212820,18
212821,36
212822,62
212823,24
212824,149
212825,19
212826,14
212828,29
212829,35
212830,29
212831,23
212832,34
212833,40
212834,26
212835,25
212837,11
212838,23
212839,20
212840,27
212843,44
212844,17
212845,111
212846,15
212849,36
212850,21
212853,35
212856,47
212857,27
212860,25
212861,45
212862,48
212863,17
212866,108
212867,42
212868,190
212869,29
212870,22
212872,47
212873,58
212874,46
212875,37
212876,45
212877,46
212879,21
212880,36
212881,27
212884,12
212885,26
212886,26
212888,12
212889,41
212890,19
212891,105
212892,15
212893,16
212896,27
212899,8
212900,11
212901,24
212902,27
212903,12
212905,40
212906,17
212907,67
212910,14
212911,13
212914,22
212915,58
212916,62
212917,33
212919,37
212920,48
212921,56
212924,71
212925,38
212926,161
212927,19
212929,43
212930,41
212931,19
212932,50
212933,39
212934,42
212935,14
212936,70
212937,49
212938,30
212940,29
212941,38
212942,46
212946,63
212947,34
212948,149
212949,39
212950,30
212951,20
212952,32
212954,38
212955,37
212956,36
212959,33
212960,45
212964,74
212965,26
212966,149
212967,22
212968,16
212969,32
212970,44
212971,31
212973,39
212974,39
212977,45
212978,45
212979,27
212981,22
212982,40
212983,47
212984,44
212985,48
212986,46
212987,79
212988,38
212989,167
212990,22
212991,18
212993,34
212994,31
212995,26
212996,26
212997,43
212998,44
212999,6
213001,28
213002,23
213006,23
213007,25
213011,47
213012,17
213013,116
213016,25
213017,22
213020,34
213021,147
213022,116
213023,51
213025,41
213026,53
213027,64
213031,79
213032,42
213033,178
213034,22
213035,17
213036,48
213037,50
213038,43
213039,26
213040,38
213041,39
213043,16
213048,127
213049,108
213050,37
213053,41
213054,53
213055,64
213056,45
213059,79
213060,42
213061,113
213064,46
213065,42
213066,42
213068,39
213069,45
213070,28
213072,55
213073,46
213074,28
213076,20
213077,38
213078,40
213079,20
213080,22
213081,27
213082,78
213083,27
213084,175
213085,22
213086,17
213087,28
213088,40
213089,33
213090,34
213091,41
213092,48
213093,6
213094,15
213096,21
213097,33
213098,33
213100,16
213101,29
213102,29
213103,16
213105,34
213106,59
213107,21
213108,130
213109,24
213110,31
213111,25
213113,34
213114,40
213115,11
213123,24
213127,46
213128,47
213129,30
213131,28
