record_ID,units_sold
212645,21
212646,22
212647,28
212648,31
212649,25
212653,26
212654,37
212657,16
212658,9
212661,178
212662,88
212663,57
212666,80
212667,93
212668,77
212671,36
212672,115
212673,75
212674,217
212675,25
212676,15
212677,75
212678,46
212679,23
212681,44
212682,53
212683,30
212686,78
212687,72
212688,28
212689,6
212691,22
212692,51
212693,27
212694,25
212695,25
212696,28
212697,94
212698,32
212699,186
212700,24
212701,12
212702,35
212703,35
212704,29
212705,33
212706,43
212707,41
212709,4
212710,18
212711,28
212712,37
212713,31
212716,30
212717,27
212718,28
212719,30
212721,89
212722,23
212723,144
212724,14
212725,13
212727,27
212728,52
212729,30
212731,40
212732,45
212734,7
212735,5
212736,14
212737,256
212738,212
212739,76
212740,18
212742,73
212743,125
212744,213
212748,233
212749,96
212750,282
212751,51
212752,26
212754,116
212755,65
212756,120
212757,45
212758,44
212759,50
212760,9
212761,57
212763,10
212764,104
212765,90
212767,45
212768,52
212769,56
212772,35
212773,64
212774,32
212775,194
212776,8
212777,7
212778,47
212779,19
212782,49
212783,55
212787,194
212788,103
212789,64
212790,15
212792,70
212793,98
212794,84
212796,122
212797,96
212798,175
212799,28
212800,12
212802,83
212803,52
212805,39
212806,47
212807,49
212809,33
212812,42
212816,11
212817,25
212818,32
212819,23
212820,29
212821,30
212822,69
212823,27
212824,132
212825,21
212826,10
212828,43
212829,48
212830,30
212831,28
212832,41
212833,50
212834,32
212835,31
212837,8
212838,19
212839,25
212840,22
212843,50
212844,19
212845,165
212846,11
212849,20
212850,19
212853,51
212856,37
212857,21
212860,9
212861,41
212862,46
212863,21
212866,123
212867,45
212868,160
212869,30
212870,26
212872,40
212873,63
212874,23
212875,42
212876,42
212877,39
212879,18
212880,25
212881,35
212884,16
212885,32
212886,24
212888,17
212889,42
212890,16
212891,147
212892,12
212893,26
212896,40
212899,5
212900,15
212901,22
212902,18
212903,9
212905,38
212906,14
212907,134
212910,12
212911,8
212914,20
212915,102
212916,78
212917,37
212919,38
212920,51
212921,66
212924,67
212925,38
212926,202
212927,12
212929,61
212930,51
212931,15
212932,65
212933,43
212934,25
212935,12
212936,67
212937,73
212938,26
212940,46
212941,40
212942,33
212946,48
212947,48
212948,156
212949,46
212950,54
212951,29
212952,41
212954,28
212955,29
212956,28
212959,18
212960,25
212964,78
212965,27
212966,153
212967,17
212968,19
212969,37
212970,53
212971,23
212973,40
212974,34
212977,47
212978,49
212979,28
212981,20
212982,35
212983,37
212984,30
212985,26
212986,34
212987,121
212988,27
212989,198
212990,26
212991,21
212993,49
212994,56
212995,30
212996,29
212997,45
212998,50
212999,7
213001,12
213002,15
213006,16
213007,27
213011,35
213012,17
213013,131
213016,19
213017,8
213020,37
213021,161
213022,96
213023,71
213025,42
213026,48
213027,62
213031,95
213032,44
213033,192
213034,26
213035,19
213036,57
213037,41
213038,59
213039,28
213040,33
213041,45
213043,22
213048,139
213049,91
213050,39
213053,57
213054,70
213055,69
213056,39
213059,69
213060,47
213061,145
213064,62
213065,36
213066,46
213068,41
213069,60
213070,23
213072,70
213073,55
213074,32
213076,16
213077,33
213078,50
213079,28
213080,32
213081,28
213082,94
213083,28
213084,169
213085,21
213086,19
213087,32
