record_ID,units_sold
212645,15
212646,17
212647,29
212648,21
212649,21
212653,21
212654,36
212657,11
212658,10
212661,178
212662,101
212663,56
212666,70
212667,74
212668,124
212671,30
212672,117
212673,55
212674,323
212675,23
212676,8
212677,75
212678,47
212679,44
212681,55
212682,90
212683,20
212686,103
212687,87
212688,26
212689,7
212691,21
212692,47
212693,43
212694,28
212695,25
212696,25
212697,98
212698,32
212699,167
212700,25
212701,17
212702,41
212703,41
212704,38
212705,35
212706,45
212707,49
212709,8
212710,11
212711,32
212712,40
212713,30
212716,27
212717,37
212718,16
212719,17
212721,92
212722,26
212723,116
212724,16
212725,12
212727,33
212728,51
212729,43
212731,34
212732,43
212734,7
212735,5
212736,12
212737,279
212738,225
212739,73
212740,22
212742,87
212743,101
212744,227
212748,227
212749,90
212750,392
212751,50
212752,22
212754,114
212755,83
212756,88
212757,47
212758,76
212759,125
212760,8
212761,67
212763,12
212764,101
212765,83
212767,41
212768,46
212769,72
212772,35
212773,62
212774,31
212775,189
212776,11
212777,8
212778,46
212779,27
212782,50
212783,58
212787,208
212788,123
212789,76
212790,17
212792,85
212793,92
212794,146
212796,159
212797,94
212798,319
212799,31
212800,13
212802,96
212803,65
212805,58
212806,71
212807,117
212809,30
212812,37
212816,13
212817,25
212818,37
212819,14
212820,15
212821,26
212822,75
212823,24
212824,115
212825,14
212826,11
212828,36
212829,43
212830,40
212831,33
212832,38
212833,44
212834,29
212835,25
212837,7
212838,20
212839,25
212840,23
212843,50
212844,18
212845,80
212846,11
212849,34
212850,33
212853,32
212856,44
212857,22
212860,17
212861,39
212862,53
212863,11
212866,115
212867,36
212868,150
212869,31
212870,23
212872,43
212873,59
212874,47
212875,33
212876,39
212877,46
212879,19
212880,22
212881,35
212884,13
212885,27
212886,20
212888,18
212889,42
212890,20
212891,81
212892,21
212893,18
212896,28
212899,7
212900,10
212901,20
212902,16
212903,10
212905,38
212906,12
212907,56
212910,13
212911,12
212914,17
212915,115
212916,80
212917,34
212919,37
212920,51
212921,93
212924,75
212925,43
212926,299
212927,12
212929,62
212930,70
212931,22
212932,57
212933,62
212934,71
212935,10
212936,63
212937,61
212938,17
212940,38
212941,35
212942,36
212946,49
212947,53
212948,146
212949,44
212950,36
212951,33
212952,43
212954,65
212955,28
212956,28
212959,19
212960,24
212964,82
212965,24
212966,139
212967,17
212968,13
212969,29
212970,41
212971,37
212973,30
212974,31
212977,54
212978,57
212979,26
212981,19
212982,38
212983,51
212984,44
212985,41
212986,40
212987,106
212988,30
212989,228
212990,28
212991,20
212993,46
212994,50
212995,44
212996,44
212997,51
212998,60
212999,7
213001,14
213002,12
213006,13
213007,21
213011,27
213012,13
213013,60
213016,14
213017,16
213020,23
213021,161
213022,111
213023,64
213025,50
213026,48
213027,90
213031,98
213032,48
213033,260
213034,27
213035,18
213036,66
213037,51
213038,63
213039,25
213040,44
213041,66
213043,17
213048,137
213049,100
213050,41
213053,60
213054,58
213055,107
213056,44
213059,71
213060,49
213061,221
213064,60
213065,28
213066,42
213068,65
213069,98
213070,23
213072,79
213073,64
213074,34
213076,19
213077,34
213078,53
213079,21
213080,19
213081,23
213082,104
213083,31
213084,177
213085,30
213086,20
213087,38
213088,53
213089,49
213090,35
213091,50
213092,68
213093,5
213094,13
213096,18
213097,26
213098,23
213100,11
213101,22
213102,31
213103,21
213105,25
213106,67
213107,20
213108,74
213109,27
213110,34
213111,30
213113,34
213114,41
213115,5
213123,23
213127,79
213128,48
213129,25
213131,26
213132,35
213133,60
213135,57
213136,23
213137,154
213138,16
213140,36
213141,22
213142,35
213145,55
213147,7
213148,75
213149,39
213150,10
213151,20
213152,32
213153,12
213154,79
213155,25
213156,99
213157,21
213158,17
213159,33
213160,30
213161,37
213162,27
213163,27
213164,36
213167,14
213168,29
213169,211
213170,166
213171,83
213174,73
213175,79
213176,125
213179,25
213180,132
213181,62
213182,252
213183,30
213187,79
213188,50
213189,71
213191,57
213192,93
213194,17
213195,13
213197,8
213199,7
213200,19
213202,25
213204,66
213205,20
213206,87
213207,21
213208,54
213209,38
213215,98
