record_ID,units_sold
212645,30
212646,27
212647,17
212648,22
212649,23
212653,28
212654,28
212657,20
212658,14
212661,146
212662,103
212663,61
212666,52
212667,83
212668,94
212671,39
212672,94
212673,45
212674,189
212675,28
212676,16
212677,54
212678,48
212679,42
212681,37
212682,46
212683,19
212686,81
212687,86
212688,21
212689,8
212691,23
212692,38
212693,43
212694,37
212695,39
212696,38
212697,71
212698,34
212699,166
212700,21
212701,16
212702,34
212703,28
212704,24
212705,33
212706,34
212707,46
212709,12
212710,23
212711,43
212712,58
212713,34
212716,30
212717,36
212718,21
212719,22
212721,65
212722,25
212723,122
212724,16
212725,14
212727,30
212728,35
212729,26
212731,33
212732,44
212734,9
212735,12
212736,19
212737,190
212738,156
212739,100
212740,24
212742,92
212743,147
212744,165
212748,137
212749,71
212750,193
212751,45
212752,30
212754,88
212755,75
212756,101
212757,46
212758,52
212759,68
212760,11
212761,76
212763,14
212764,76
212765,80
212767,27
212768,39
212769,39
212772,31
212773,60
212774,32
212775,123
212776,17
212777,12
212778,37
212779,31
212782,39
212783,43
212787,146
212788,113
212789,71
212790,16
212792,62
212793,105
212794,103
212796,94
212797,120
212798,159
212799,33
212800,15
212802,61
212803,53
212805,40
212806,51
212807,57
212809,24
212812,39
212816,20
212817,34
212818,35
212819,22
212820,24
212821,36
212822,66
212823,26
212824,136
212825,17
212826,14
212828,32
212829,36
212830,27
212831,27
212832,34
212833,39
212834,30
212835,25
212837,11
212838,21
212839,20
212840,27
212843,51
212844,16
212845,91
212846,12
212849,44
212850,17
212853,35
212856,49
212857,25
212860,25
212861,48
212862,50
212863,18
212866,97
212867,35
212868,173
212869,28
212870,26
212872,41
212873,50
212874,40
212875,36
212876,44
212877,44
212879,17
212880,32
212881,32
212884,14
212885,27
212886,24
212888,17
212889,43
212890,22
212891,80
212892,14
212893,20
212896,32
212899,6
212900,13
212901,21
212902,20
212903,10
212905,42
212906,15
212907,65
212910,14
212911,12
212914,20
212915,77
212916,62
212917,33
212919,33
212920,49
212921,51
212924,70
212925,35
212926,144
212927,14
212929,42
212930,37
212931,17
212932,54
212933,44
212934,44
212935,14
212936,74
212937,48
212938,25
212940,26
212941,38
212942,38
212946,56
212947,31
212948,124
212949,37
212950,31
212951,17
212952,32
212954,37
212955,37
212956,37
212959,33
212960,38
212964,67
212965,26
212966,129
212967,19
212968,14
212969,34
212970,41
212971,27
212973,40
212974,39
212977,51
212978,52
212979,26
212981,26
212982,44
212983,49
212984,43
212985,46
212986,46
212987,84
212988,40
212989,153
212990,22
212991,17
212993,38
212994,31
212995,27
212996,31
212997,44
212998,46
212999,8
213001,20
213002,19
213006,18
213007,17
213011,38
213012,16
213013,99
213016,20
213017,15
213020,30
213021,135
213022,113
213023,68
213025,38
213026,52
213027,59
213031,78
213032,37
213033,150
213034,23
213035,17
213036,43
213037,64
213038,53
213039,25
213040,38
213041,41
213043,18
213048,116
213049,100
213050,38
213053,40
213054,57
213055,68
213056,34
213059,69
213060,35
213061,128
213064,41
213065,51
213066,47
213068,48
213069,53
213070,31
213072,56
213073,54
213074,29
213076,23
213077,41
213078,43
213079,25
213080,26
213081,28
213082,82
213083,28
213084,164
213085,24
213086,19
213087,32
213088,42
213089,33
213090,35
213091,43
213092,48
213093,8
213094,14
213096,25
213097,32
213098,29
213100,15
213101,25
213102,26
213103,23
213105,31
213106,53
213107,21
213108,113
213109,26
213110,29
213111,21
213113,36
213114,41
213115,11
213123,25
213127,59
213128,47
213129,25
213131,25
213132,37
213133,39
213135,55
213136,24
213137,114
213138,15
213140,33
213141,27
213142,41
213145,38
213147,12
213148,61
213149,36
213150,15
213151,29
213152,31
213153,18
213154,66
213155,26
213156,119
213157,20
213158,17
213159,32
213160,36
213161,28
213162,26
213163,38
213164,38
213167,14
213168,30
213169,148
213170,130
213171,89
213174,62
213175,99
213176,106
213179,25
213180,98
213181,44
213182,153
213183,33
213187,51
213188,47
213189,105
213191,37
213192,49
213194,23
213195,12
213197,16
213199,14
213200,26
213202,30
213204,52
213205,22
213206,78
213207,17
213208,40
213209,26
213215,92
213216,63
213217,38
213219,31
213220,44
213221,50
213225,66
213226,33
213227,156
213230,38
213231,34
213233,32
213235,43
213236,13
213238,90
213239,61
213240,33
213241,32
213242,46
213243,45
213245,71
213246,34
213247,143
213248,21
213249,16
213250,42
213251,36
213252,19
213254,40
213255,47
213256,8
213257,16
213260,19
213265,39
213268,12
213269,38
213270,41
213273,35
213275,49
213276,24
213278,12
213279,28
213280,47
213281,50
213282,21
213283,33
213285,94
213286,41
213287,174
213288,29
213289,19
213292,39
213293,32
213294,26
213296,47
213297,53
213301,30
213303,13
213304,16
213305,34
213306,28
213308,37
213309,36
213310,49
213311,27
213312,110
213314,12
213315,25
213316,22
213317,18
213320,131
213321,116
213322,37
213325,39
213326,58
213327,62
213330,36
213331,76
213332,37
213333,107
213334,18
213335,11
213336,44
213337,39
213338,19
213340,44
213341,48
213343,15
213346,83
213347,32
213348,12
213351,15
213352,32
213353,28
213354,21
213355,34
213356,35
213357,59
213358,24
213359,122
213360,16
213361,13
213363,36
213364,28
213365,32
213366,39
213367,44
213369,64
213370,63
213371,19
213372,20
213373,33
213374,35
213375,22
213376,24
213377,23
213378,65
213379,25
213380,144
213381,17
213382,14
213383,31
213384,36
213385,27
213387,34
213388,45
213390,12
213391,35
213392,32
213394,18
213395,37
213396,27
213399,60
213400,23
213401,95
213403,21
213404,20
213408,27
213409,9
213410,11
213411,17
213412,43
213413,40
213414,19
213415,20
213416,29
213417,31
213418,28
213419,19
213420,19
213421,67
213422,25
213423,119
213425,11
213426,24
213427,21
213428,16
213431,39
213432,10
213434,19
213435,60
213436,64
213437,21
213439,22
213440,31
213441,39
213444,30
213445,45
213446,26
213447,110
213448,31
213449,27
213454,67
213455,40
213456,25
213457,36
213458,34
213461,45
213462,29
213463,118
213466,34
213467,24
213471,12
213472,59
213473,48
213474,25
213476,26
213477,38
213478,38
213479,62
213480,31
213481,123
213484,37
213485,32
213486,17
213488,36
213489,42
213490,11
213491,26
213494,19
213495,18
213496,12
213497,20
213502,38
213503,18
213505,17
213506,27
213507,18
213510,33
213511,27
213512,11
213514,17
213516,56
213517,18
213518,108
213519,14
213520,11
213521,22
213522,24
213523,18
213526,36
213528,11
213530,53
213531,51
213532,34
213533,8
213535,20
213536,30
213537,31
213538,30
213540,32
213541,61
213542,23
213543,132
213545,11
213546,28
213547,33
213548,24
213550,37
213551,35
213554,27
213559,29
213560,27
213561,28
213562,31
213563,31
213564,52
213565,22
213566,96
213567,43
213568,23
213572,29
213573,30
213574,26
213575,13
213576,14
213577,23
213578,21
213579,26
213580,31
213581,64
213582,20
213583,132
213584,15
213587,33
213588,26
213591,41
213593,41
213594,40
213597,22
213598,34
213599,39
213600,32
213601,24
213602,31
213603,64
213604,33
213605,143
213606,23
213607,15
213608,31
213609,26
213610,21
213612,39
213613,39
213614,28
213615,138
213616,119
213617,43
213619,49
213620,66
213621,77
213624,25
213625,79
213626,44
213627,153
213630,53
213631,47
213635,50
213639,34
213640,32
213641,15
213643,17
213644,28
213645,32
213648,56
213649,27
213650,135
213651,20
213652,16
213653,27
213654,22
213658,36
213660,32
213661,29
213663,9
213664,20
213665,34
213666,38
213669,63
213670,33
213671,154
213673,25
213674,35
213675,23
213678,45
213681,43
213682,41
213683,21
213685,24
213686,37
213687,41
213688,40
213689,41
213690,40
213691,69
213692,35
213693,162
213694,19
213696,33
213697,26
213698,22
213699,34
213700,43
213701,48
213703,61
213704,41
213707,22
213708,32
213709,37
213711,50
213712,26
213713,105
213716,32
213720,37
213723,98
213724,80
213725,22
213727,28
213728,40
213729,42
213733,61
213734,33
213735,131
213736,39
213737,33
213738,19
213741,40
213743,148
213744,108
213745,64
213748,53
213749,78
213750,94
213752,83
213753,46
213754,170
213755,34
213756,26
213758,55
213759,48
213760,34
213761,36
213762,45
213763,70
213764,9
213765,22
213768,156
213769,140
213770,75
213771,15
213773,52
213774,81
213775,84
213779,85
213780,46
213781,168
213782,22
213783,15
213785,54
213786,47
213787,79
213788,39
213789,50
213790,55
213792,21
213796,25
213797,24
213798,12
213799,7
213800,14
213801,26
213802,24
213805,57
213806,22
213807,94
213808,12
213809,25
213811,27
213814,40
213816,23
213817,21
213819,13
213820,18
213821,18
213824,42
213825,16
213826,83
213829,18
213830,32
213831,22
213833,28
213834,25
213835,9
213838,11
213840,22
213842,36
213844,18
213848,86
213849,50
213850,27
213851,29
213852,42
213853,43
213857,67
213858,34
213859,133
213860,18
213861,12
213862,40
213863,33
213865,33
213866,41
213867,45
213870,68
213871,43
213874,26
213875,34
213878,53
213879,27
213880,113
213883,32
213884,23
213885,12
213888,38
213891,94
213892,63
213893,30
213895,32
213896,50
213897,51
213900,69
213901,33
213902,141
213903,25
213905,39
213906,34
213907,48
213909,38
213910,44
213912,17
213913,27
213918,22
213919,19
213922,26
213923,57
213924,17
213925,104
213926,12
213928,17
213930,25
213932,33
213935,35
213936,34
213939,21
213940,27
213942,63
213943,29
213944,126
213945,20
213946,14
213947,30
213948,27
213949,21
213951,34
213952,38
213954,25
213955,26
213956,23
213960,17
213961,32
213962,31
213963,32
213964,31
213965,27
213966,54
213967,30
213968,102
213971,22
213972,26
213973,18
213976,154
213977,110
213978,63
213979,24
213980,20
213981,61
213982,100
213983,104
213985,24
213986,20
213987,115
213988,63
213989,196
213990,36
213991,19
213994,63
213995,54
213996,89
213998,54
213999,62
214000,10
214001,27
214002,20
214004,73
214005,41
214006,22
214008,28
214009,40
214010,41
214011,26
214014,56
214015,34
214016,140
214017,44
214018,32
214019,52
214021,50
214022,46
214023,82
214024,56
214025,26
214026,30
214027,44
214028,45
214032,58
214033,37
214034,146
214035,43
214036,36
214040,41
214041,10
214043,166
214044,134
214045,93
214048,87
214049,128
214050,128
214051,21
214054,95
214055,61
214056,215
214057,40
214061,73
214062,65
214063,111
214065,64
214066,73
214067,29
214070,54
214071,54
214072,25
214073,24
214074,42
214075,44
214076,42
214077,25
214078,43
214079,93
214080,30
214081,179
214082,28
214083,22
214084,42
214085,48
214086,45
214088,38
214089,50
214090,8
214092,27
214096,26
214097,24
214098,31
214099,21
214100,59
214101,24
214102,121
214103,11
214104,37
214105,48
214106,30
214109,41
214111,47
214112,45
214114,16
214115,25
214116,26
214118,33
214120,43
214121,25
214122,120
214124,20
214125,18
214126,15
214129,44
214130,42
214131,18
214133,22
214134,37
214135,38
214136,26
214137,27
214138,41
214139,72
214140,34
214141,131
214142,19
214143,15
214144,32
214145,27
214146,25
214148,36
214149,47
214151,129
214152,64
214153,29
214154,33
214155,91
214156,92
214158,35
214159,71
214160,34
214161,145
214162,19
214163,13
214164,42
214165,36
214168,41
214169,42
214175,74
214176,49
214177,22
214178,29
214179,40
214180,48
214184,63
214185,33
214186,130
214187,39
214188,33
214191,45
214192,15
214193,64
214194,39
214195,19
214196,28
214197,40
214198,41
214202,78
214203,45
214204,150
214205,47
214206,72
214207,39
214209,55
214210,57
214213,35
214215,16
214216,31
214217,37
214218,17
214221,67
214222,24
214223,140
214224,18
214225,15
214226,30
214227,35
214228,26
214229,30
214230,37
214231,42
214233,12
214235,87
214236,72
214237,61
214240,37
214241,57
214242,58
