record_ID,units_sold
212645,18
212646,23
212647,23
212648,20
212649,22
212653,28
212654,30
212657,15
212658,11
212661,147
212662,98
212663,47
212666,57
212667,70
212668,89
212671,37
212672,103
212673,52
212674,166
212675,26
212676,11
212677,64
212678,45
212679,44
212681,47
212682,57
212683,18
212686,72
212687,72
212688,22
212689,8
212691,20
212692,37
212693,49
212694,32
212695,32
212696,32
212697,80
212698,29
212699,168
212700,19
212701,11
212702,33
212703,30
212704,27
212705,33
212706,40
212707,49
212709,8
212710,18
212711,45
212712,49
212713,30
212716,29
212717,38
212718,18
212719,21
212721,70
212722,22
212723,96
212724,17
212725,14
212727,29
212728,40
212729,31
212731,35
212732,43
212734,8
212735,10
212736,19
212737,212
212738,149
212739,76
212740,29
212742,106
212743,138
212744,172
212748,144
212749,78
212750,175
212751,48
212752,23
212754,98
212755,74
212756,140
212757,36
212758,56
212759,92
212760,9
212761,78
212763,16
212764,89
212765,72
212767,32
212768,40
212769,49
212772,30
212773,67
212774,32
212775,107
212776,15
212777,9
212778,41
212779,28
212782,38
212783,45
212787,179
212788,134
212789,77
212790,23
212792,94
212793,114
212794,121
212796,123
212797,103
212798,146
212799,38
212800,15
212802,93
212803,67
212805,41
212806,50
212807,58
212809,31
212812,34
212816,16
212817,29
212818,31
212819,18
212820,21
212821,29
212822,67
212823,22
212824,98
212825,16
212826,9
212828,29
212829,37
212830,32
212831,31
212832,35
212833,42
212834,27
212835,23
212837,9
212838,21
212839,22
212840,23
212843,54
212844,17
212845,77
212846,13
212849,33
212850,23
212853,32
212856,44
212857,23
212860,25
212861,41
212862,44
212863,13
212866,94
212867,30
212868,166
212869,22
212870,14
212872,38
212873,49
212874,42
212875,34
212876,41
212877,49
212879,14
212880,26
212881,31
212884,11
212885,25
212886,24
212888,16
212889,44
212890,17
212891,60
212892,19
212893,19
212896,29
212899,7
212900,10
212901,19
212902,22
212903,9
212905,46
212906,11
212907,48
212910,12
212911,12
212914,23
212915,101
212916,62
212917,29
212919,37
212920,49
212921,63
212924,76
212925,37
212926,121
212927,16
212929,46
212930,35
212931,23
212932,57
212933,43
212934,49
212935,13
212936,73
212937,47
212938,19
212940,30
212941,37
212942,45
212946,64
212947,35
212948,105
212949,40
