record_ID,units_sold
212645,20
212646,20
212647,22
212648,21
212649,20
212653,26
212654,25
212657,14
212658,11
212661,170
212662,99
212663,53
212666,62
212667,69
212668,114
212671,39
212672,116
212673,55
212674,274
212675,23
212676,10
212677,66
212678,47
212679,38
212681,60
212682,87
212683,19
212686,98
212687,77
212688,21
212689,9
212691,19
212692,42
212693,50
212694,30
212695,29
212696,31
212697,96
212698,31
212699,138
212700,23
212701,15
212702,42
212703,40
212704,34
212705,38
212706,46
212707,54
212709,9
212710,14
212711,29
212712,45
212713,33
212716,28
212717,34
212718,16
212719,17
212721,83
212722,23
212723,97
212724,15
212725,13
212727,32
212728,41
212729,36
212731,32
212732,40
212734,7
212735,7
212736,16
212737,260
212738,213
212739,70
212740,22
212742,83
212743,119
212744,203
212748,212
212749,92
212750,345
212751,43
212752,19
212754,108
212755,86
212756,80
212757,50
212758,86
212759,112
212760,9
212761,61
212763,13
212764,90
212765,78
212767,34
212768,43
212769,64
212772,38
212773,62
212774,32
212775,157
212776,13
212777,9
212778,41
212779,30
212782,51
212783,58
212787,196
212788,123
212789,70
212790,21
212792,80
212793,97
212794,142
212796,153
212797,83
212798,306
212799,32
212800,13
212802,88
212803,68
212805,56
212806,79
212807,121
212809,27
212812,36
212816,13
212817,29
212818,30
212819,16
212820,16
212821,31
212822,77
212823,24
212824,94
212825,14
212826,11
212828,33
212829,42
212830,38
212831,25
212832,34
212833,39
212834,25
212835,23
212837,8
212838,23
212839,21
212840,23
212843,48
212844,16
212845,71
212846,9
212849,41
212850,29
212853,30
212856,50
212857,22
212860,20
212861,41
212862,49
212863,19
212866,98
212867,32
212868,116
212869,26
212870,17
212872,42
212873,50
212874,47
212875,33
212876,39
212877,46
212879,18
212880,24
212881,31
212884,14
212885,23
212886,19
212888,17
212889,39
212890,18
212891,79
212892,16
212893,17
212896,23
212899,8
212900,8
212901,18
212902,16
212903,11
212905,38
212906,13
212907,37
212910,12
212911,14
212914,16
212915,105
212916,80
212917,31
212919,38
212920,49
212921,80
212924,78
212925,47
212926,279
212927,15
212929,53
212930,93
212931,22
212932,52
212933,64
212934,65
212935,12
212936,61
212937,54
212938,18
212940,34
212941,37
212942,45
212946,57
212947,43
212948,178
212949,41
212950,33
212951,26
212952,47
212954,56
212955,26
212956,26
212959,25
212960,23
212964,70
212965,25
212966,124
212967,14
212968,11
212969,28
212970,38
212971,32
212973,35
212974,31
212977,67
212978,57
212979,26
212981,19
212982,40
212983,57
212984,46
212985,47
212986,46
212987,99
212988,34
212989,219
212990,27
212991,18
212993,47
212994,48
212995,37
212996,38
212997,56
212998,62
212999,7
213001,16
213002,13
213006,15
213007,17
213011,30
213012,13
213013,47
213016,17
213017,16
213020,19
213021,160
213022,123
213023,56
213025,46
213026,50
213027,82
213031,89
213032,45
213033,226
213034,21
213035,13
213036,56
213037,58
213038,55
213039,29
213040,50
