record_ID,units_sold
212645,20
212646,20
212647,24
212648,22
212649,20
212653,24
212654,27
212657,13
212658,11
212661,172
212662,99
212663,53
212666,61
212667,71
212668,115
212671,40
212672,117
212673,55
212674,292
212675,22
212676,9
212677,70
212678,46
212679,39
212681,57
212682,81
212683,18
212686,100
212687,79
212688,22
212689,10
212691,19
212692,42
212693,51
212694,30
212695,29
212696,30
212697,96
212698,33
212699,149
212700,22
212701,14
212702,42
212703,41
212704,34
212705,36
212706,44
212707,50
212709,9
212710,13
212711,26
212712,45
212713,32
212716,29
212717,36
212718,18
212719,18
212721,84
212722,24
212723,105
212724,15
212725,11
212727,32
212728,42
212729,36
212731,32
212732,39
212734,6
212735,7
212736,16
212737,263
212738,218
212739,72
212740,23
212742,82
212743,122
212744,214
212748,206
212749,89
212750,359
212751,42
212752,19
212754,111
212755,86
212756,83
212757,48
212758,78
212759,105
212760,8
212761,63
212763,13
212764,92
212765,81
212767,35
212768,43
212769,66
212772,40
212773,63
212774,33
212775,169
212776,13
212777,8
212778,41
212779,30
212782,48
212783,58
212787,198
212788,120
212789,69
212790,21
212792,72
212793,96
212794,142
212796,155
212797,79
212798,317
212799,31
212800,14
212802,88
212803,67
212805,52
212806,72
212807,115
212809,26
212812,37
212816,13
212817,29
212818,31
212819,16
212820,17
212821,28
212822,76
212823,25
212824,103
212825,15
212826,11
212828,33
212829,42
212830,36
212831,27
212832,34
212833,39
212834,26
212835,23
212837,9
212838,23
212839,22
212840,22
212843,48
212844,17
212845,76
212846,9
212849,36
212850,29
212853,30
212856,49
212857,23
212860,19
212861,41
212862,49
212863,19
212866,98
212867,32
212868,124
212869,26
212870,19
212872,43
212873,51
212874,46
212875,32
212876,37
212877,46
212879,19
212880,25
212881,31
212884,15
212885,23
212886,19
212888,17
212889,39
212890,18
212891,82
212892,15
212893,17
212896,23
212899,8
212900,9
212901,18
212902,17
212903,12
212905,37
212906,14
212907,37
212910,12
212911,14
212914,16
212915,105
212916,78
212917,31
212919,35
212920,50
212921,80
212924,77
212925,44
212926,283
212927,15
212929,50
212930,89
212931,23
212932,51
212933,62
212934,63
212935,12
212936,63
212937,54
212938,21
212940,32
212941,38
212942,46
212946,57
212947,43
212948,178
212949,39
212950,34
212951,26
212952,45
212954,54
212955,27
212956,27
212959,25
212960,24
212964,70
212965,25
212966,132
212967,15
212968,12
212969,27
212970,37
212971,31
212973,31
212974,30
212977,69
212978,57
212979,27
212981,20
212982,40
212983,56
212984,44
212985,40
212986,43
212987,97
212988,38
212989,228
212990,27
212991,18
212993,47
212994,46
212995,37
212996,39
212997,53
212998,60
212999,7
213001,17
213002,13
213006,15
213007,17
213011,29
213012,13
213013,49
213016,17
213017,16
213020,18
213021,158
213022,123
213023,55
213025,44
213026,51
213027,82
213031,86
213032,45
213033,243
213034,21
213035,13
213036,53
213037,59
213038,53
213039,27
213040,47
