record_ID,units_sold
212645,15
212646,18
212647,30
212648,23
212649,20
212653,22
212654,35
212657,12
212658,11
212661,178
212662,101
212663,53
212666,73
212667,78
212668,119
212671,35
212672,119
212673,57
212674,319
212675,21
212676,8
212677,76
212678,45
212679,43
212681,51
212682,86
212683,18
212686,104
212687,87
212688,25
212689,7
212691,20
212692,47
212693,38
212694,31
212695,29
212696,29
212697,94
212698,31
212699,160
212700,23
212701,14
212702,40
212703,42
212704,37
212705,33
212706,42
212707,45
212709,7
212710,11
212711,29
212712,40
212713,30
212716,27
212717,36
212718,18
212719,18
212721,95
212722,26
212723,110
212724,14
212725,10
212727,33
212728,51
212729,42
212731,33
212732,41
212734,6
212735,6
212736,14
212737,276
212738,228
212739,72
212740,22
212742,86
212743,106
212744,220
212748,230
212749,89
212750,389
212751,47
212752,20
212754,117
212755,84
212756,100
212757,44
212758,69
212759,118
212760,7
212761,70
212763,12
212764,103
212765,83
212767,41
212768,48
212769,71
212772,39
212773,66
212774,30
212775,189
212776,10
212777,7
212778,48
212779,26
212782,51
212783,60
212787,208
212788,123
212789,73
212790,18
212792,82
212793,98
212794,138
212796,164
212797,95
212798,320
212799,31
212800,13
212802,96
212803,64
212805,53
212806,72
212807,114
212809,29
212812,39
212816,13
212817,26
212818,34
212819,15
212820,15
212821,27
212822,72
212823,24
212824,103
212825,14
212826,11
212828,35
212829,42
212830,38
212831,32
212832,36
212833,45
212834,29
212835,25
212837,7
212838,21
212839,24
212840,22
212843,50
212844,17
212845,69
212846,10
212849,37
212850,31
212853,32
212856,43
212857,22
212860,15
212861,39
212862,50
212863,12
212866,115
212867,35
212868,136
212869,28
212870,22
212872,43
212873,57
212874,44
212875,31
212876,39
212877,44
212879,19
212880,23
212881,33
212884,13
212885,27
212886,19
212888,17
212889,42
212890,18
212891,73
212892,18
212893,19
212896,28
212899,8
212900,9
212901,20
212902,15
212903,11
212905,41
212906,12
212907,55
212910,12
212911,13
212914,19
212915,111
212916,80
212917,32
212919,36
212920,51
212921,84
212924,78
212925,42
212926,283
212927,13
212929,55
212930,73
212931,22
212932,53
212933,61
212934,71
212935,10
212936,65
212937,60
212938,18
212940,37
212941,37
212942,37
212946,52
212947,52
212948,138
212949,42
212950,37
212951,33
212952,41
212954,62
212955,28
212956,28
212959,20
212960,23
212964,82
212965,25
212966,117
212967,17
212968,14
212969,30
212970,41
212971,34
212973,31
212974,31
212977,53
212978,55
212979,26
212981,18
212982,38
212983,47
212984,43
212985,38
212986,41
212987,108
212988,29
212989,212
212990,27
212991,19
212993,47
212994,51
212995,43
212996,42
212997,50
212998,61
212999,6
213001,14
213002,12
213006,13
213007,19
213011,28
213012,12
213013,54
213016,14
213017,16
213020,21
213021,160
213022,112
213023,62
213025,50
213026,49
213027,86
213031,99
213032,46
213033,249
213034,26
213035,17
213036,63
213037,55
213038,66
213039,25
213040,44
213041,62
213043,17
213048,137
213049,100
213050,39
213053,61
213054,60
213055,97
213056,43
213059,73
213060,48
213061,249
213064,58
213065,28
213066,45
213068,62
213069,95
213070,24
213072,78
213073,62
213074,33
213076,17
213077,34
213078,50
213079,20
213080,18
213081,23
213082,106
213083,29
213084,156
213085,27
213086,19
213087,38
213088,52
213089,44
213090,35
213091,47
213092,63
213093,4
213094,13
213096,19
213097,25
213098,23
213100,11
213101,21
213102,27
213103,19
213105,26
213106,65
213107,19
213108,72
213109,26
213110,33
213111,27
213113,30
213114,35
213115,5
213123,26
213127,77
213128,49
213129,25
213131,26
213132,36
213133,58
213135,57
213136,25
213137,146
213138,14
213140,35
213141,23
213142,48
213145,52
213147,7
213148,72
213149,39
213150,12
213151,22
213152,33
213153,14
213154,76
213155,24
213156,91
213157,19
213158,16
213159,32
213160,32
213161,36
213162,23
213163,25
213164,33
213167,14
213168,27
213169,211
213170,166
213171,85
213174,72
213175,81
213176,124
213179,26
213180,140
213181,62
213182,268
213183,28
213187,80
213188,49
213189,81
213191,51
213192,91
213194,18
213195,14
213197,8
213199,7
213200,20
213202,24
213204,67
213205,18
213206,76
213207,18
213208,58
213209,39
213215,98
213216,75
213217,45
213219,48
213220,51
213221,70
213225,64
213226,33
213227,218
213230,42
213231,28
213233,40
213235,72
213236,9
213238,124
213239,85
213240,35
213241,39
213242,39
213243,76
213245,76
213246,38
213247,256
213248,22
213249,14
213250,55
213251,36
213252,25
213254,45
213255,72
213256,4
213257,16
213260,12
213265,36
213268,13
213269,38
213270,41
213273,28
213275,44
213276,23
213278,6
213279,20
213280,50
213281,38
213282,15
213283,24
213285,110
213286,36
213287,119
213288,25
213289,17
213292,43
213293,38
213294,31
213296,41
213297,43
213301,26
213303,10
213304,14
213305,38
213306,27
213308,34
213309,34
213310,54
213311,22
213312,105
213314,9
213315,27
213316,24
213317,18
213320,168
213321,112
213322,34
213325,55
213326,61
213327,118
213330,31
213331,104
213332,41
213333,187
213334,15
213335,7
213336,62
213337,37
213338,25
213340,57
213341,79
213343,10
213346,178
213347,28
213348,8
213351,7
213352,36
213353,23
213354,14
213355,25
213356,25
213357,59
213358,21
213359,129
213360,9
213361,8
213363,43
213364,44
213365,35
213366,35
213367,42
213369,65
213370,55
213371,18
213372,15
213373,30
213374,45
213375,19
213376,19
213377,23
213378,83
213379,22
213380,119
213381,18
213382,15
213383,34
213384,44
213385,42
213387,28
213388,43
213390,11
213391,35
213392,31
213394,18
213395,40
213396,26
213399,72
213400,17
213401,84
213403,22
213404,20
213408,23
213409,7
213410,8
213411,17
213412,65
213413,47
213414,17
213415,14
213416,28
213417,30
213418,18
213419,11
213420,9
213421,60
213422,14
213423,113
213425,11
213426,28
213427,25
213428,23
213431,34
213432,6
213434,16
213435,67
213436,57
213437,27
213439,20
213440,33
213441,45
213444,41
213445,48
213446,23
213447,133
213448,36
213449,17
213454,54
213455,38
213456,26
213457,35
213458,45
213461,33
213462,25
213463,125
213466,31
213467,11
213471,12
213472,75
213473,46
213474,20
213476,31
213477,41
213478,58
213479,71
213480,37
213481,167
213484,40
213485,38
213486,22
213488,31
213489,41
213490,6
213491,16
213494,18
213495,16
213496,10
213497,18
213502,48
213503,19
213505,16
213506,31
213507,27
213510,33
213511,30
213512,8
213514,19
213516,55
213517,14
213518,75
213519,16
213520,12
213521,22
213522,28
213523,22
213526,25
213528,10
213530,42
213531,33
213532,18
213533,8
213535,13
213536,25
213537,33
213538,17
213540,20
213541,77
213542,21
213543,89
213545,8
213546,30
213547,41
213548,33
213550,31
213551,33
213554,15
213559,23
