record_ID,units_sold
212645,20
212646,20
212647,24
212648,22
212649,21
212653,25
212654,28
212657,13
212658,11
212661,171
212662,98
212663,53
212666,62
212667,71
212668,117
212671,39
212672,120
212673,55
212674,287
212675,22
212676,10
212677,68
212678,46
212679,39
212681,57
212682,84
212683,18
212686,103
212687,81
212688,23
212689,10
212691,19
212692,42
212693,50
212694,30
212695,29
212696,30
212697,99
212698,32
212699,147
212700,21
212701,14
212702,42
212703,41
212704,35
212705,38
212706,44
212707,51
212709,9
212710,12
212711,26
212712,44
212713,32
212716,29
212717,36
212718,16
212719,17
212721,86
212722,24
212723,111
212724,14
212725,10
212727,32
212728,43
212729,37
212731,34
212732,41
212734,6
212735,7
212736,16
212737,265
212738,212
212739,73
212740,23
212742,84
212743,123
212744,209
212748,212
212749,88
212750,367
212751,42
212752,19
212754,110
212755,86
212756,86
212757,49
212758,81
212759,111
212760,9
212761,58
212763,12
212764,94
212765,78
212767,36
212768,44
212769,69
212772,41
212773,66
212774,34
212775,171
212776,12
212777,8
212778,42
212779,30
212782,51
212783,58
212787,195
212788,119
212789,69
212790,21
212792,75
212793,99
212794,143
212796,158
212797,79
212798,317
212799,31
212800,14
212802,88
212803,66
212805,57
212806,77
212807,117
212809,26
212812,37
212816,13
212817,28
212818,31
212819,17
212820,17
212821,28
212822,74
212823,24
212824,102
212825,16
212826,13
212828,32
212829,41
212830,35
212831,30
212832,34
212833,39
212834,27
212835,24
212837,9
212838,24
212839,22
212840,22
212843,46
212844,17
212845,81
212846,10
212849,36
212850,27
212853,29
212856,49
212857,23
212860,19
212861,40
212862,49
212863,18
212866,99
212867,31
212868,123
212869,25
212870,20
212872,41
212873,49
212874,46
212875,32
212876,37
212877,46
212879,19
212880,23
212881,29
212884,14
212885,24
212886,20
212888,17
212889,38
212890,19
212891,80
212892,16
212893,16
212896,23
212899,8
212900,9
212901,18
212902,16
212903,12
212905,39
212906,14
212907,35
212910,13
212911,14
212914,17
212915,106
212916,79
212917,33
212919,38
212920,50
212921,81
212924,78
212925,44
212926,289
212927,15
212929,50
212930,92
212931,22
212932,54
212933,66
212934,67
212935,12
212936,66
212937,54
212938,20
212940,32
212941,38
212942,47
212946,58
212947,42
212948,182
212949,38
212950,33
212951,26
212952,46
212954,56
212955,28
212956,27
212959,25
212960,24
212964,69
212965,24
212966,128
212967,17
212968,15
212969,27
212970,37
212971,30
212973,33
212974,30
212977,69
212978,56
212979,27
212981,21
212982,40
212983,56
212984,41
212985,39
212986,41
212987,98
212988,39
212989,229
212990,26
212991,19
212993,47
212994,47
212995,37
212996,44
212997,56
212998,63
212999,7
213001,16
213002,13
213006,15
213007,17
213011,30
213012,14
213013,50
213016,17
213017,16
213020,18
213021,159
213022,120
213023,55
213025,46
213026,51
213027,83
213031,89
213032,46
213033,249
213034,21
213035,14
213036,53
213037,60
213038,51
213039,30
213040,48
