record_ID,units_sold
212645,18
212646,20
212647,34
212648,28
212649,24
212653,26
212654,35
212657,12
212658,12
212661,179
212662,101
212663,53
212666,82
212667,83
212668,138
212671,36
212672,126
212673,61
212674,364
212675,23
212676,8
212677,77
212678,44
212679,40
212681,54
212682,96
212683,17
212686,102
212687,81
212688,27
212689,7
212691,21
212692,48
212693,42
212694,37
212695,34
212696,35
212697,108
212698,30
212699,179
212700,22
212701,16
212702,39
212703,40
212704,36
212705,36
212706,47
212707,49
212709,7
212710,13
212711,37
212712,40
212713,32
212716,28
212717,38
212718,19
212719,22
212721,94
212722,26
212723,117
212724,17
212725,12
212727,32
212728,52
212729,44
212731,38
212732,41
212734,6
212735,7
212736,16
212737,273
212738,220
212739,75
212740,22
212742,93
212743,109
212744,236
212748,232
212749,94
212750,431
212751,52
212752,21
212754,113
212755,82
212756,115
212757,43
212758,73
212759,137
212760,8
212761,63
212763,14
212764,105
212765,81
212767,49
212768,48
212769,81
212772,41
212773,72
212774,32
212775,208
212776,11
212777,8
212778,46
212779,25
212782,50
212783,63
212787,212
212788,127
212789,71
212790,19
212792,91
212793,106
212794,166
212796,173
212797,124
212798,331
212799,33
212800,13
212802,96
212803,63
212805,62
212806,78
212807,116
212809,30
212812,38
212816,13
212817,24
212818,37
212819,17
212820,19
212821,30
212822,74
212823,23
212824,110
212825,17
212826,12
212828,35
212829,41
212830,39
212831,40
212832,44
212833,49
212834,29
212835,25
212837,8
212838,20
212839,25
212840,27
212843,54
212844,15
212845,76
212846,12
212849,40
212850,29
212853,32
212856,44
212857,23
212860,15
212861,38
212862,53
212863,13
212866,123
212867,35
212868,155
212869,30
212870,24
212872,42
212873,59
212874,47
212875,36
212876,42
212877,48
212879,19
212880,27
212881,39
212884,13
212885,28
212886,20
212888,19
212889,44
212890,16
212891,71
212892,16
212893,20
212896,31
212899,7
212900,10
212901,21
212902,16
212903,13
212905,44
212906,10
212907,56
212910,12
212911,11
212914,19
212915,119
212916,82
212917,35
212919,41
212920,53
212921,95
212924,80
212925,42
212926,317
212927,14
212929,60
212930,98
212931,23
212932,77
212933,74
212934,79
212935,11
212936,73
