record_ID,units_sold
212645,17
212646,20
212647,34
212648,26
212649,24
212653,21
212654,35
212657,11
212658,11
212661,181
212662,103
212663,55
212666,77
212667,80
212668,137
212671,38
212672,114
212673,59
212674,350
212675,23
212676,9
212677,76
212678,45
212679,41
212681,51
212682,89
212683,16
212686,103
212687,83
212688,28
212689,9
212691,21
212692,48
212693,43
212694,34
212695,31
212696,33
212697,99
212698,31
212699,175
212700,22
212701,16
212702,39
212703,41
212704,38
212705,34
212706,43
212707,49
212709,7
212710,12
212711,33
212712,41
212713,33
212716,28
212717,38
212718,19
212719,21
212721,89
212722,26
212723,119
212724,17
212725,12
212727,32
212728,53
212729,45
212731,36
212732,40
212734,6
212735,7
212736,16
212737,278
212738,223
212739,77
212740,25
212742,90
212743,111
212744,237
212748,223
212749,90
212750,430
212751,51
212752,23
212754,113
212755,83
212756,104
212757,43
212758,67
212759,127
212760,8
212761,65
212763,15
212764,108
212765,82
212767,50
212768,48
212769,81
212772,41
212773,68
212774,34
212775,210
212776,12
212777,9
212778,46
212779,25
212782,49
212783,62
212787,215
212788,128
212789,72
212790,19
212792,87
212793,107
212794,168
212796,166
212797,117
212798,328
212799,32
212800,14
212802,96
212803,63
212805,61
212806,77
212807,114
212809,30
212812,39
212816,13
212817,25
212818,38
212819,17
212820,18
212821,29
212822,70
212823,24
212824,109
212825,18
212826,13
212828,35
212829,41
212830,39
212831,41
212832,39
212833,47
212834,30
212835,26
212837,8
212838,21
212839,26
212840,26
212843,49
212844,16
212845,77
212846,13
212849,32
212850,29
212853,31
212856,45
212857,23
212860,15
212861,39
212862,53
212863,13
212866,115
212867,35
212868,149
212869,30
212870,25
212872,42
212873,59
212874,47
212875,34
212876,38
212877,43
212879,19
212880,24
212881,37
212884,14
212885,29
212886,20
212888,20
212889,39
212890,18
212891,71
212892,18
212893,19
212896,30
212899,8
212900,11
212901,22
212902,17
212903,13
212905,42
212906,11
212907,52
212910,13
212911,11
212914,18
212915,117
212916,83
212917,37
212919,41
212920,53
212921,95
212924,76
212925,43
212926,313
212927,14
212929,59
212930,94
212931,24
212932,67
212933,70
212934,75
212935,10
212936,77
212937,62
212938,21
212940,42
212941,40
212942,44
212946,52
212947,53
212948,154
212949,47
212950,39
212951,35
212952,48
212954,69
212955,31
212956,29
212959,20
212960,27
212964,81
212965,23
212966,145
212967,21
212968,16
212969,29
212970,41
212971,33
212973,29
212974,35
212977,55
212978,57
212979,28
212981,19
212982,39
212983,53
212984,50
212985,40
212986,45
212987,109
212988,29
212989,232
212990,30
212991,22
212993,47
212994,48
212995,42
212996,42
212997,53
212998,59
212999,7
213001,14
213002,14
213006,14
213007,22
213011,26
213012,11
213013,62
213016,14
213017,17
213020,23
213021,161
213022,111
213023,64
213025,51
213026,50
213027,97
213031,99
213032,49
213033,293
213034,27
213035,18
213036,63
213037,51
213038,64
213039,26
213040,41
213041,64
213043,17
213048,139
213049,97
213050,41
213053,66
213054,66
213055,108
213056,52
213059,71
213060,47
213061,240
213064,59
213065,30
213066,45
213068,70
213069,103
213070,25
213072,82
213073,65
213074,34
213076,18
213077,34
213078,58
213079,22
213080,21
213081,25
213082,100
213083,28
213084,175
213085,29
213086,22
213087,38
213088,55
213089,47
213090,40
213091,51
213092,61
213093,5
213094,13
213096,21
213097,27
213098,23
213100,11
213101,21
213102,30
213103,23
213105,29
213106,59
213107,19
213108,84
213109,24
213110,31
213111,27
213113,35
213114,42
213115,7
213123,32
213127,79
213128,51
213129,28
213131,31
213132,39
213133,62
213135,60
213136,25
213137,155
213138,16
213140,36
213141,22
213142,41
213145,55
213147,7
213148,72
213149,39
213150,12
213151,22
213152,35
213153,16
213154,73
213155,25
213156,98
213157,22
213158,18
213159,30
213160,33
213161,36
213162,26
213163,24
213164,33
213167,16
213168,30
213169,211
213170,161
213171,88
213174,74
213175,86
213176,132
213179,30
213180,133
213181,61
213182,273
213183,31
213187,78
213188,49
213189,85
213191,52
213192,99
213194,19
213195,13
213197,8
213199,7
213200,22
213202,31
213204,67
213205,19
213206,86
213207,17
213208,59
213209,42
213215,101
213216,77
213217,50
213219,54
213220,52
213221,80
213225,65
213226,35
213227,240
213230,42
213231,26
213233,43
213235,78
213236,8
213238,126
213239,84
213240,37
213241,43
213242,40
213243,87
213245,73
213246,38
213247,277
213248,23
213249,15
213250,55
213251,36
213252,27
213254,47
213255,74
213256,5
213257,16
213260,13
213265,38
213268,12
213269,39
213270,41
213273,32
213275,44
213276,23
213278,8
213279,20
213280,52
213281,40
213282,15
213283,25
213285,106
213286,35
213287,131
213288,28
213289,20
213292,42
213293,37
213294,32
213296,43
213297,44
213301,28
213303,10
213304,15
213305,40
213306,33
213308,40
213309,41
213310,52
213311,23
213312,118
213314,10
213315,27
213316,21
213317,17
213320,178
213321,113
213322,37
213325,64
213326,64
213327,128
213330,32
213331,98
213332,42
213333,197
213334,17
213335,8
213336,62
213337,35
213338,24
213340,56
213341,79
213343,10
213346,185
213347,30
213348,9
213351,8
213352,39
213353,27
213354,15
213355,23
213356,24
213357,62
213358,21
213359,144
213360,10
213361,9
213363,47
213364,45
213365,39
213366,39
213367,49
213369,66
213370,56
213371,19
213372,15
213373,29
213374,49
213375,21
213376,23
213377,25
213378,78
213379,22
213380,131
213381,21
213382,19
213383,33
213384,44
213385,41
213387,31
213388,46
213390,12
213391,37
213392,32
213394,19
213395,41
213396,29
213399,71
213400,15
213401,93
213403,21
213404,18
213408,22
213409,7
213410,8
213411,19
213412,68
213413,48
213414,18
213415,15
213416,29
213417,37
213418,20
